comp_id,smiles
TM1,O=C(C1=CC=C(C(NCCCNC2CCCCC2)=O)C=C1)NCCCNC3CCCCC3
TM2,O=C(C1=CC=C(CNCCCNC2CCCCC2)C=C1)NCCCNC3CCCCC3
TM3,C1(NCCCNCC2=CC=C(CNCCCNC3CCCCC3)C=C2)CCCCC1
TM4,C1(CCCCC1)NCC2=CC=C(C=C2)CNC3CCCCC3
TM5,C1(CNCC2=CC=CC=N2)=CC=C(C=C1)CNCC3=CC=CC=N3
TM6,C1(CNCCCNC2CCCCC2)=CC(CNCCCNC3CCCCC3)=CC(CNCCCNC4CCCCC4)=C1
TM7,C1(NCCCNCC2=CC=CC(CNCCCNC3CCCCC3)=C2)CCCCC1
TM8,C1(NCCCNCC2=CC=C(C3=CC=C(NCCCNC4CCCCC4)C=C3)C=C2)CCCCC1
TM9,C1(NCCCNCC2=CC=C(CNCCCNC3CCCCC3)C4=C2C=CC=C4)CCCCC1
TM10,O=[N+](C1=CC(CNCCCNC2CCCCC2)=CC=C1CNCCCNC3CCCCC3)[O-]
TM11,NC1=CC(CNCCCNC2CCCCC2)=CC=C1CNCCCNC3CCCCC3
TM12,NC1=CC(CNCCCNC2CCCCC2)=CC=C1CNCCCNC3CCCCC3
TM13,O=[N+](C1=CC(CNCCCNC2CCCCC2)=CC(CNCCCNC3CCCCC3)=C1)[O-]
TM14,NC1=CC(CNCCCNC2CCCCC2)=CC(CNCCCNC3CCCCC3)=C1
TM15,CNC1=CC(CNCCCNC2CCCCC2)=CC(CNCCCNC3CCCCC3)=C1
TM16,CN(C)C1=CC(CNCCCNC2CCCCC2)=CC(CNCCCNC3CCCCC3)=C1
TM17,C1(CNCCCNC2CCCCC2)=CN=C(CNCCCNC3CCCCC3)C=C1
TM18,C1(CCCCC1)NCCCNCC2=CC=CC(CNCCCNC3CCCCC3)=N2
TM19,O=C(C1=CC=C(CNCCCNC2CCCCC2)C=C1)NCC3=NC=CC=C3
TM20,O=C(C1=CC=C(CNCCCNC2CCCCC2)C=C1)NCC3=NC=CN=C3
TM21,C1(CNCC2=CC=C(CNCCCNC3CCCCC3)C=C2)=CC=CC=N1
TM22,C1(CCCCC1)NCC2=CC=C(CNCCCNC3CCCCC3)C=C2
TM23,C1(CNCC2CCCCC2)=CC=C(CNCCCNC3CCCCC3)C=C1
TM24,C1(CN(CC2=NC=CC=C2)CC3=CC=CC=N3)=CC=C(CNCCCNC4CCCCC4)C=C1
TM25,C1(CN/C(NC2CCCCC2)=N/C3CCCCC3)=CC=C(CNCCCNC4CCCCC4)C=C1
TM26,S=C(NC1CCCCC1)NCC2=CC=C(CNCCCNC3CCCCC3)C=C2
TM27,S=C(NC1CCCCC1)NCC2=CC=C(CNCCCNC3CCCCC3)C=C2
TM28,O=C(C1=CC=C(C2=N[C@H]3CCCC[C@H]3N2)C=C1)NC4=CC=C(CNCCCNC5CCCCC5)C=C4
TM29,O=C(NC1=CC=C(C=C1)CNCCCNC2CCCCC2)C3=CC=C(C=C3)C4=NCCN4
TM30,O=C(C1=CC=C(CNC2CCCCC2)C=C1)NC3=CC=C(CNCCCNC4CCCCC4)C=C3
TM31,FC1=CC(CN(CC2=NC=CC=C2)CC3=CC=CC=N3)=CC=C1CNCCCNC4CCCCC4
TM32,FC1=CC(CN(CC2=NC=CC=C2)CC3=CC=CC=N3)=CC=C1CN(C)CCCNC4CCCCC4
TM33,FC1=CC(CN(CC2=NC=CC=C2)CC3=CC=CC=N3)=CC=C1CN4C[C@@H](CNC5CCCCC5)CCC4
