comp_id,smiles,bioactivity,y_label
TM1,O=C(C1=CC=C(C(NCCCNC2CCCCC2)=O)C=C1)NCCCNC3CCCCC3,1687.7,positive
TM2,O=C(C1=CC=C(CNCCCNC2CCCCC2)C=C1)NCCCNC3CCCCC3,699.4,positive
TM3,C1(NCCCNCC2=CC=C(CNCCCNC3CCCCC3)C=C2)CCCCC1,19.8,positive
TM4,C1(CCCCC1)NCC2=CC=C(C=C2)CNC3CCCCC3,10000.0,positive
TM5,C1(CNCC2=CC=CC=N2)=CC=C(C=C1)CNCC3=CC=CC=N3,10000.0,positive
TM6,C1(CNCCCNC2CCCCC2)=CC(CNCCCNC3CCCCC3)=CC(CNCCCNC4CCCCC4)=C1,312.3,positive
TM7,C1(NCCCNCC2=CC=CC(CNCCCNC3CCCCC3)=C2)CCCCC1,155.5,positive
TM8,C1(NCCCNCC2=CC=C(C3=CC=C(NCCCNC4CCCCC4)C=C3)C=C2)CCCCC1,67.5,positive
TM9,C1(NCCCNCC2=CC=C(CNCCCNC3CCCCC3)C4=C2C=CC=C4)CCCCC1,40.8,positive
TM10,O=[N+](C1=CC(CNCCCNC2CCCCC2)=CC=C1CNCCCNC3CCCCC3)[O-],354.0,positive
TM11,NC1=CC(CNCCCNC2CCCCC2)=CC=C1CNCCCNC3CCCCC3,68.9,positive
TM12,NC1=CC(CNCCCNC2CCCCC2)=CC=C1CNCCCNC3CCCCC3,48.0,positive
TM13,O=[N+](C1=CC(CNCCCNC2CCCCC2)=CC(CNCCCNC3CCCCC3)=C1)[O-],147.3,positive
TM14,NC1=CC(CNCCCNC2CCCCC2)=CC(CNCCCNC3CCCCC3)=C1,81.2,positive
TM15,CNC1=CC(CNCCCNC2CCCCC2)=CC(CNCCCNC3CCCCC3)=C1,67.6,positive
TM16,CN(C)C1=CC(CNCCCNC2CCCCC2)=CC(CNCCCNC3CCCCC3)=C1,119.3,positive
TM17,C1(CNCCCNC2CCCCC2)=CN=C(CNCCCNC3CCCCC3)C=C1,193.6,positive
TM18,C1(CCCCC1)NCCCNCC2=CC=CC(CNCCCNC3CCCCC3)=N2,121.6,positive
TM19,O=C(C1=CC=C(CNCCCNC2CCCCC2)C=C1)NCC3=NC=CC=C3,910.7,positive
TM20,O=C(C1=CC=C(CNCCCNC2CCCCC2)C=C1)NCC3=NC=CN=C3,1920.7,positive
TM21,C1(CNCC2=CC=C(CNCCCNC3CCCCC3)C=C2)=CC=CC=N1,42.7,positive
TM22,C1(CCCCC1)NCC2=CC=C(CNCCCNC3CCCCC3)C=C2,86.8,positive
TM23,C1(CNCC2CCCCC2)=CC=C(CNCCCNC3CCCCC3)C=C1,217.7,positive
TM24,C1(CN(CC2=NC=CC=C2)CC3=CC=CC=N3)=CC=C(CNCCCNC4CCCCC4)C=C1,29.3,positive
TM25,C1(CN/C(NC2CCCCC2)=N/C3CCCCC3)=CC=C(CNCCCNC4CCCCC4)C=C1,1006.3,positive
TM26,S=C(NC1CCCCC1)NCC2=CC=C(CNCCCNC3CCCCC3)C=C2,1597.0,positive
TM27,S=C(NC1CCCCC1)NCC2=CC=C(CNCCCNC3CCCCC3)C=C2,182.9,positive
TM28,O=C(C1=CC=C(C2=N[C@H]3CCCC[C@H]3N2)C=C1)NC4=CC=C(CNCCCNC5CCCCC5)C=C4,152.0,positive
TM29,O=C(NC1=CC=C(C=C1)CNCCCNC2CCCCC2)C3=CC=C(C=C3)C4=NCCN4,333.4,positive
TM30,O=C(C1=CC=C(CNC2CCCCC2)C=C1)NC3=CC=C(CNCCCNC4CCCCC4)C=C3,225.9,positive
TM31,FC1=CC(CN(CC2=NC=CC=C2)CC3=CC=CC=N3)=CC=C1CNCCCNC4CCCCC4,35.5,positive
TM32,FC1=CC(CN(CC2=NC=CC=C2)CC3=CC=CC=N3)=CC=C1CN(C)CCCNC4CCCCC4,37.2,positive
TM33,FC1=CC(CN(CC2=NC=CC=C2)CC3=CC=CC=N3)=CC=C1CN4C[C@@H](CNC5CCCCC5)CCC4,94.5,positive
